,text
3721,باين صاك تاع راه معمر كابوط ورويتي من يا الفايحة الشباب الجزايري خيرة ما انجبت الجزاير تنحي الماكياج مانعرفوكش اذا مراة او معزة
1072,بارك الله فيك
3804,العيوب اكل فيك مالقيتش حتى باش نسبك
3348,تفوه خامجة كيما هذي تحكي في عامة الناس
4408,انا بعد الظلم اثم وادا كانت هي سبت اشعب ربي يتولاها وجيها ظربة من عندو
5387,الجزاير الجديدة الحكومة الجديدة لله امرك يا جزاير لله امرك
3323,تنحي مكياچ تولي فغول
5891,الجزاير لن تدخلوها لن تدخلو الجزاير
1617,الصحن كي تكسر مابقاش كي بكرى بلكعس حنا نرموه ڨاع
4113,لالا راني نشوف برا رجال يلبسو شورط تاع دار ويخرجوا وثانيا انا راجل مش مرا اهدر معاي طاي طاي ولا باي
230,رخيس
2359,عجبتني نتاع ريوڨ
6026,اسفة و شكرا عل المعلومة
3248,فتحت على نفسك ابواب جهنم مع الشباب الجزاءري تعياي مدار ما تخرجيش
4268,ماشي صوتها
2913,لفت انتباه الحمير لاغير الانتخابات
5199,هذا الخبر لا اساس له من الصحة
722,روحي غطي لجبهة هاديك راي غطات كاميرا قاع
4479,هذي هي نتيجة الحرية المطلقة للمراة والعيش لوحدها والصحبات المفلسات تتزوج براجل بسن بباها وتلعبها عاقلة ومادبة خبيثة
1086,الخرية هادي راح تفر
5385,هولاء الخونة ليسوا المرغوب فيهما لو جاووا سوف يضربهم الشعب بالحجارة نحن شعب لا ينسى الكلاب
635,لم تظلم احدا لقد ظلمتموها
2196,كي تغسلي وجهك وتلبسي لباس محتشم ومحترم ومتحجبة اكيد وانا متاكدة راه تلقاي الاحترام في اعين الناس مهما كانو خاطرش كاين الدين في قلوب الناس دينا يحدثنا هاك ولي موافقني الراي يدر
3744,ياخي قديمه ياخي
2094,يشمل نتي راجل على هذيك لي راكي توري في عقلية رجال هنه
2764,ديرا كي لحمار حشا خليقت ربي
5689,مكاين له تجيبوهم ومن هذا الذي دعاهم حتى باطل منحتجوهمش
1959,ماعلاباليش علاش ماعجبتكمش هدرتها انا وحدة من الناس نوافقها الراي ميا بالميا وكامل شاقالت رانا نعيشوه وراكم تشوفو بعينيكم شاراه يا رب فشارع ماطلقو متحجبة ماطلقو متبرجة ماطلقو عزبة ماطلقو متزوجة وهاديك المطلقة مانهدروش عليها مسكينة كون عندكم شخصية وكونكم مع الحق
3138,عاش الفار ودار السيشوار صح جعانة وشبعت الله يزيدك فيها حالة
2357,عندها الحق 100
5475,حسبنا الله ونعم الوكيل فيكم
3873,شبيها شكون هاذي لمخلوقة
1238,امنتك يا حمودة القنات لي تحب تخصر شعبيتها تستضيف وحدة كيفك
3869,كلامك صح الله غالب هذا الوقت كلمت الصح تضر
2253,الله ما غلطت قالت كلمة حق حاشا البعض
3993,ربي يهديك المراة الحرة هي التي يصفها الاسلام ويعطيها حقوقها ويبين لها واجباتها ربي سبحانه وتعالى امر المراة بستر نفسها لانه اعلم بما في النفوس فهو خالقها وهذه الافات سببها مخالفة احكام الله والابتعاد عن ديننا الحنيف ربي يهدينا ويهديك
3195,راكي تافه يا شعر الباقيتي وثاني يا راس ااكابوية سلفيلنا شوينديرو بيه البروشة الغد
4365,باين مش صوتها
94,انتي ماشي مسلمة
1041,دارت كما هذيك المصرية زينة كي سبت الجزاير بعد مباراة ام درمان من بعد قالت ما سبيتش
5026,الجزاير شهدايها لا يقبل الفسق
3205,نهار تتعلمي تستري عرضك وشرفك قبل جبهتك تم تعرفي قيمة الطفلة العفيفة واش تسوى مي الله غالب ربي مرزقكش نعمة العفة كشفك فالارض قبل يوم العرض
2008,بالنسبة لي القصاص معندك حتى علاقة ونخلوه للدولة احسن بالنسبة لي للخزير وي عندك الحق يخزروا وبالحجاب ويخزروا وي صح حنا جزايريين وخاوة ميي اعطوا للطريق حقها غظوا البصر غير شوي بزاف انا نايدها على دي الفكرة وراني معها
4579,لكان معاهابصحته
4872,بفف
2922,وانت ايضا جذبتك الفتاة اعجبتك نظرت اليها من خلال زجاج نافذة السيارة لانها ببساطة قطعة لحم ليست انسانة تغطي لحمها تحتشم حتى لا تجذب اليها الانظار لا تعرض نفسها للانتقاد كما فعلت انت كذلك على هذا الموقع
11,هدرتك قاع ااصح
724,راهي مدايرة لاكروا الصليب هذه قصة المخابرات قالت فيكتورين الله يرحمها
2256,انت قلتي تلبسي واش تحبي امل حنا نشوفو وين نحبو
228,اذا كان رايك بلي هاذي عندها الحق مالا غير ريزيرفي بلاصتك فصبيطار المهابل خطراش لازملك تعاودي تفرزي مخك لحبيبة
2953,ياك ياك ياك تعايري في الجزايريات اللي جابو الفحولة والمساطيش تعايري فلي لوكان يديرو اليد في اليد يحرو فلسطين الي يستاهلو حور العين تعايري في ولدي وخويا لي نعرف بلي يحرو البلاد ياك معلبالكش بلي الجزايري مايحبش الذل والاهانة لبنت بلاده ياك متبلاوكش يا لي دايرا كيلو ماكياج والكيراتين لشعرك لي كما عش الزاوش زيدي زيدي بصح صح ولدي نجيبله لالاك الفحلة والحرة ونخليك يتزوجك الفن العفن لي كيفك
3121,يا قحبة
167,متزخيش علبالنا بلي كنتي فخستوغوا
5456,بالمختصر الشديد اللي باعك بالفول بيعو بقشورو
980,من بكري منحبهاش وزادت كملت عليها
5503,الجزاير جوهرة ليست بحاجة للترويج من شبه فنانين لا يمتون باي صلة بثقافتنا الترويج ساهل ماهل عندنا 15 مليون جزايري مغترب من اجيال مختلفة خففوا عنهم الاجراءات المساومات الغير قانونية بفعل الممارسات التعسفية لبعض اشباه الموظفين سترون العجب العجاب في اقل مدة من ترويج توطين العملة في العز الشرف طبعا الترحاب باخواننا العرب من الشرفاء من اي جنسية بشرط ابعاد المتصهينين المطبعين لاننا لا نريد ان تنقل العدوى لارض الشهداء النطف بكل تفاخر قد اختلطت بين المخزن الكيان
1664,مقطعة كيفك شكون يسخف عليكم يززحح
1305,ياو خلاص الكلمة كي وجه البارود اذا خرج ما يرجع لمضربو ضرك بزقتي الكلام الرادي ومبعد تجي تحشي للغاشي نڨزيها تبراي
3547,الرسول صلى الله عليه وسلم جاتو امراة قاتلو كيف اخرج عن الدين يارسول الله قالها ابيني للناس خصلة من خصلات شعرك ونتي شعرك كل البر وزيد جسمك كل باين وجاية تحكي على الدين ومنعرف والله نحير فناس لي مقيماتك اصلا هوما لي طلعولك شانك يارخيسة
2529,وقيلة معندكش تواليت داركم يا وحدل رخيسة هذه فيات هي من دمرت مجتمع
712,هاكي تشوفي
5409,خصتا رمضان خصارا فيه اسمو رخيس
5681,مرفوضين الى الابد ربي سهل عليهم
3523,الله يجيبلك حبة في هذاك لفم خرية
2578,راكي منيتك رجال يريڤو على 2 كيلو مكياج كون غي نقولو طبيعية
338,تقول طرف لحم
4337,انا والله غير وجعتني تضامن الشعب بصح هي مسترتش روحها انت خريتي اسكتي
1586,كل واحد ربي يهنيه في هاد دنيا
3881,انا اول مره كي شتها شبعتها باينه بلي
5328,مانسحقوش الزبل عندنا
3880,ناس بكري يقولو السفيه يقرا ما فيه
1938,هنا الجزايرين شايفن وشابعينا
4851,اللهم استر نساء المسلمين في الدنيا والاخرة يارب العالمين
5242,الجزاير بلاد الشهداء
4687,وانا نقولك عسي قاعك تحشاتلك
2723,طاحتلكم فالصح علبيها هجتو عليها شعب شكوبي لي جات قده يلبسها يسكتنا
2563,لقد شتمت كل الرجال انا اقول لك بين هولاء الرجال الذين شتمتينهم رجال يصهرون على امنك امن الجزاير لولاهم يا لالة مونيا لاصبحت قطعة لحم يسيل عليها اللعاب كما تقولين بين الحيوانات في الجبال اهدري ذرك على روحك راكي في لتساع في وقت الارهاب هربتوا قاع الى جدتكم فرنسا الله يلعن الراسة انتاعكم
5163,علي المنجل ان يتدخل يقاضي هوءلاء الذين شاركوا في الاستدعاء هذه تسمي اهانة للشعب ونسي القاءمة السوداء استضافهم
5289,وسخ كامل نتم ولي عرضكم
5461,شعب يطلب ورايحين يجيبو الفنانين يعطوهم بالملاير تفو عليكم اه الشكامين تفو
2507,روحي لبلاد وحدة اخرى
2686,طهور ان شاء الله تبراي تبراي متخميش ربي ما فيه الا الخير
4782,هادي ماشي بشرى
521,تولهتو للسنسلة تاعها صليب
0,فمك كبير من وجهك تقبلي في كميرة وجهك صحيحة
1255,وجه نمي
66,حبهت تحرير اعطيناكي عهدا
2473,شوفو المقطع كامل راهي تحكي على الناس لي استشفاو في قتل شيماء وقفو مع المغتصب والقاتل وعطاوله الحق ربي يهديهم
4627,ماجرتش بالمعصيه وردت فعلها طبيعيه انسانه حكا فيهالي سيوا ولي مايسواش باينه انفعال تعها يكونرهكدا لانو اعصابها تعبت وعندها لحق اغلب شعب خراي زناو وداروهك كامل ممبعد يجو يحكو فيها خلونا ساكتين نعرفو بعضانا
1902,حشا خلق ربي
1037,عندها وحد الجبها غير تاع دماغ
2076,حلبوها ولات تكبر
5287,على رييس الجمهورية اقالة المسوول عن القطاع باستفزازه للشعب الجزايري من خلال استضافته هذين الشخصين
73,كون جيتي مرا ماتهدري هدي الهدرة على بلادك
2113,كي تعرفي تحكي نحي الخاتم من اصبع الشهاد انتي وحده شيطان عليك العنة
2667,يا مونية رجال لركي تسبي فيهم هما جابو استقلال الجزاير واضحة فلخر تجي من بعيد تسبيهم روحي نحي كيلو تاع المكياج حن مناش حيوانات رجال تاع صح في وقت الشدة تبان رجال لركي تهدري فيهم جابو كاس افريقيا بنات الجزاير ميهدروش هكذا يعيش على حلو مر
3582,لي ريق عليك ماشي باش يتزوج بيك
175,ربي يهديك تقوصي ضوفرك سنسلة لي في رقبتك استري روحك من بعد انصحينا علي اقل تكون نصحية مقبولة نتي نفسك مرحمتيهش
1532,مشي افار كان قلبها مع الشعب هي اصلا ماكانتش برلمانية ولا وزيرة ولا شخص ذو نفوذ بش دافع عالشعب بصح كانت انسانة متواضعة قلبها حنين مشي كما هذو ذباب الاينستاغرام تع اخر الزمان حاطين رواحهم حاجة كبيرة مهمة هذي فيـ غولة بانت خطرة فالاتيلي الخطرة لي بعدها قلعت تهدر فرنسي تزيد عليها مبعد بانتلها بلي ولات نيفو بدات تقصف فالشعب عندها زهر دولة مطلعين شانهم الفاتشات لي كما هي صح كاين الحلابين بزاف بصح لكان يحاسبوهم عالمنشورات فاينستاغرام الله ما تطلع بيها تبكي دم
27,عبري عن شعورك واعطي ردت فعلك ولاكن ماتهبطيش نيفو تخصري متابعين صح متمسنيش بهدرتك منحسش نقص في روحي ولاكن كانت عندك طرق عديد لتفسير وتوضيح بهذه الطريق راكي نقصتي من قيمتك اختي العزيز وفي الاخير كل واحد راح يتحاسب وحدو ديري لبغيتي انا ماتهمنيش ولاكن نتصفح طلعتيلي هدر لقلتيها ماش مليح ناس راها تشوف كاين ليتفرج مايعلقش تربحي منو غير دعوت شر انت وليا ربي يهديك هذا واش نقول وشكرا
98,نقصي من المايكياج نشوفو وجهك وجه معاد كيما يقولك
4069,ساول روول نسيتي غضو ابصاركم
2344,في كل حاجة دخلوا الجهل المقدس
4397,واش بيكم تلعبو فييها نتوا اشراف مكة ما تهدرووش زعمه كلالم العيب واو متربين يااسر مونافقين تجهلو عندها الحق كول واحد يعس روحو
1727,تخية ليك يا مونيا امراة فحلة حرة الله عندك الحق
3853,يودي روحي اتربي نتي اومبعد ربي ناس
4885,ممكن مشي صوتها
5193,فين حين تخلصنا من كرونا تعود على شكل ناس دون المستوى لما لا استضافت رييس اكيان الصهيوني كيف تدوس اقدام هذا الخاين هذه الهبله ارض مليون نصف مليون شهيد اليس لدينا فنانين فنانات اتقوا الله في هذا الوطن هذا الشعب
3717,واش هذي صح كل واحد يكول في هذا صح
2548,خصها سقلة
5225,واش وزارة الثقافه السياحه رايحه تخلص بالدوفيس واش فاضله علينا الدراهم والو ما يمثلوناش والشخص المسوول اللي نادالهم نادى لهم دعمهم لازم يتحاسب لا هيفاء وهبي لا محمد رمضان لا عمار بوزور
1439,بودماغ شوشا تاعك
3368,لحد الان في هذا الفيديو الذي شاهدته ما قالته هو صحيح لا غبار عليه فقط المطلوب من الذين شاهدو فيديوهاتها ان يمتنعو عن تشويه الحقايق
4895,الفحلة بنت الفحلة مربية عليك جامي تكون كما انتي
3236,ضحكتني كي قلتلي الا مخطوبة فعمري16
2451,هدرت الحق وش معجبكمش مفهمتش وش لي معجبكمش
2521,كثر فيه الحسد النميمة القذف
4396,هيا ما تسواش وانتم طلعتولها النيفو هادي شيطانة بصورة انسان
189,حاطة روحك شي واش ونتي قرواش محطوط
1083,ما لقيتو مع من تهدرو عجب
3365,كي نقولو السوري رومنسي واللبناني او المصري الخ والجزاىري ليس رومنسي ولايقول بحبك ولكن قرن وثنين وثلاثين سنة لم ولن يتخلى عن نساء الجزاير ولم يتركهم في العشرية السوداء ماشي كيما بعض الدول واحد جزاىري احسن من عشرة كيما زوج مونيا بغول
4889,مشي هي مسكينة
4896,راهي تقول لي ساندوها ن يماكم على المساندة
3144,اقترب لي ناس حسبها
5129,تحياتي لشعب مصر الكريم مصر اخوتنا محمد رمضان لا يمثل الشعب المصري هوا يمثل نفسو بس تحياتي الا شعب مصر من الجزاير لازم يتحسب الي فكر يوجهلهم الدعوا
2042,الرجل الجزايري لي عايراتو هو لي دار الحراك باش تعيشي في كرامة الرجل الجزايري هو لي راه في الجيش ومايرقدش حارس عليك باش نتي ترقدي هانية وتمشي في الطريق عريانة بكل امن
2589,حسب ما سمعت هذا الفيديو فانها قالت الحقيقة التي لم تعجب البعض لكن للعلم هذه قضية للالهاء مصنوعة في مخابرات عبلة فيقو يا بشر انا اساندها فيما قالت لانه شعب رخيس شمايت حشا البعض
6036,اسقط مسخره شفتها في حياتي
13,انا جامي محيت تعليقات ختي لعزيزة ربي يعطيك العافيه
792,والله تعجبني بصح الله غالب شعب مريض
5453,على هدي لبلاد تقوم الحرب العالمية الثالثه واتفكرو هدرتي ملييح راهم متربصين علينا بزااف دول الغرب انتهى
4420,فعلا المظاهر خداعة الله يسترنا فوق الارض وتحت الارض ويوم العرض
1354,مشكلة في ولديها لي مرباوهاش على طاعت الله سنة رسوله
1357,حاشا خليقة الرحمان تشبه لصبع رجلي الكبير
5583,كون بناو سبيطارات بيهم
5365,لا نريدهم في بلاد الشهداء
5556,مثل الحشرات التي تتطاير حول لحية الاسد وهو لا يبالي بها وان اخطاء المسوولون في استضافتهم فاءنهم لا يستحقون السووليه بل يستحقون الرجم والعزل
5083,لانحتاجو الي هنا الفنانين الكلاب المنافقين
4940,لي حولي انا نعرفهم ولا انت انت خاصك ما تشووفش لي حولك باش ما تقعدش بهاد العقلية الخاسرة
2522,متحكلي متخليني طريق معوج لدبوش بلاد لهريب سعاد ميني بوس سلفي بوشبوش ليك صوصيل دير حلا
5870,لا انا ضد دخلو هاد الحشرات الجزاير
1566,والله غير ضحكتيني انا نعرف بنات بالنقاب يمدولهم في الرقم ويتبلاوهم واش راكي تهدري ضحكتيني
1409,ياو طاحت بيك ياوجه مقلة شعب لي طلعك شعب لهبطك باي باي السنيمة
4918,صوتها وهي تكون هدرت مع واحد انتيم ليها وجبد لحسيرة بيها وماكانش حتى ابايكاسيون او غيرها تقدر تفبرك صوت مية بالمية بشهادة المختصين الجزايرين لى هدرو عليها قيمو شوية رواحكم طيحتلكم بيماتكم ومزالك تتبهللو روحو مالا واسمعو التطياح تاعها مع داركم وافرحو
1585,لحق رمضان وقالك المخرج مانسحقكش يلزم يعاودو يحبونك انتي من الاول كنتي شويا شويا ودرك غير روحي بدلي خدمة وهكذ تزيدي تكذبي هاذ الشعب حنين رايحي تحللي فيه خير ماتكذبي
1645,ترخف
2317,من خلال تعليقات بنات دزاير احمد الله عز وجل اشكره على ان زوجتي ليست جزايرية هاذ المتحول لي فالفيديو عمم وهما يقولولك ماعممش
1634,ياو فاقو
4152,زيد وحدة
4271,لي تضامنوا معها المرة الاولى يادرى باراكودا جماعته
4632,تضرب دورة منين جات شكون هادي ما نعرفهاش يا سبحان الله قوم لكع بن لكع
4059,نن خلاصلها البوز
3987,روحي استري روحك ياوجه شر
3155,هادي فرونسي راكي سور
2983,حنونتي عندك رءي خاص بصح شي صوالح مينهدروش شباب جزاءري ما خصه والو
3660,عندك الحق يا مونيا والله ما غلطتي عندنا ذياب شرسة في الجزاير
1327,سامحوني تباني تعيف رغم انها صافية مستيكية
5559,الوزير لي يحب يستدعيهم يديهم لداروا الشعب الجزايري ميعجبوش هذا الكاليتي
3032,مانشوفش فيها غالطة هدرت الواقع تخاف حتى لتخرج وحدك برا حطتكم عند حدكم يارجال انا شابة بزاف ونخدم في موسسة متزوجة تقول نخدم في غابة والله العظيم حبست الخدمة غير كرهت حياتي ونحب راجلي يارجال قيمو رواحهم علاه حتى توصل يرخسوكم
3014,عندها مي لازم متعممش كاين رجال
3707,دايمن لي يهدر الحق تاكلوه
2609,خليها عالله هما خلاوكم تخرجوا من الدار والله ولو جيت رييس وحدة كيما انتي ماتخرج من دار والله
1377,ياو الله يرحم بلادي لي ولات فيها المرخس هوما الواجهة
1549,كي تهدري غير على واحد براك جزايري تهردت عليك
2452,نتي تحبي تفصفي الشعب الجزايري زعما شايفة روحك حاجة بصح ما تنسايش نتي جزايرية ثاني ربي يهديك
770,اتخلف اتخلف دارتو هيا
5819,عندنا فنانين الحمدلله الا يستهلون بان يشرفوا بلادهم امثال الاستاذ الفنان رابح درياسة وغيره
3738,يا وحد الفايحة
3842,طلاقيتو كي نساء الجزاير كي رجالها الرجال ماشايفينش والنساء مخلوعات ماحسابهمش الله غالب كنا في حبس جاء بوتفليقة حررنا وفرنا القليل والقليل من شهوات الدنيا استعملناهم غير في دعوة الشر
506,المخلوقة هدرت على فية معينة ماسبتش ڨاع الجزايريين ولي مافي كرشو التبن مايخاف من النار تحياتي مونيا ربي يحفظك
5937,اندر تيكر ايه الفرنسي مرحبا بيه عل الاقل عدو باين مش كيما المنافقين الخونة
2401,عندها الحقيقي
3469,كون يحكمها شباب يقتلها يقلك مضلومة او غير بلع فمك كاين ناس قادرين يقتلك راك في بلاد على جال كلمة يقتلك
4351,هذي مراء ونص وخيرمن لي يدعو برجله
6050,واش عجبك انت
4368,روحي اله يفضح بيك احنا رجالوونموتو رجال اقسم بالله
4144,بارك الله فيك احسن لوالديك
2378,افضحي النقوشه
199,انتي عار على المجتمع الجزايري
4189,فاسق تقعد فاسيق
5375,لا نريد اي فنان
5440,نحبسوهم في المطار رانا قلناها حق الله ما يدخلوها بربي ولا يحكموا فلس واحد ولعرضهم يديهم لداروا وخلصهم من جيبوا حنا مش محتاجين ماسونيين اغنولنا تفووه عليهم
5271,الجزاير مايدخلوهاش حتان يطلبو السماح ويعتذرولنا
791,انا نحب موفيدا مسكينا نية
134,انا طفلة صغيرة جزايرية كنت نحبك بصح كهنت بلادي كشغل هنتيني علا بلك الدمعة طحتلي
2945,امين ممكن نتعرف عليك
609,حاشاك
83,عندها الحق بصح ماشي ڨاع الرجال
2891,عندها لحق حلابين
4373,بنات الرجال مايروحوش لي زابارتومون روحي نتي برك هاذاك هوا النيفو تاعك العيب علا علا لي قيمك ظامن معاك كون جات وحدة خرا كون حرقوها بصح طيحتي في لحلابة تفوه عليك
3278,اللي يعطي المسوولية لبنات تاع ضرك الله يلطف بينا
2673,كشغل عندك فكرة بصح ما عرفتيش كيفاه توصليها امالا طربڨتيلها الرحمة نتاعها وصاي وكشغل زعما عندك موقف وڨاع بصح نتي شكون سقساك ولا خدا رايك والله غير لوكان ينحولكم التيليفونات يديرو فينا واحد المزية
1130,روحي اسطري روحك
5510,لا نحتاج لاشباه الفنانين ان يدنسوا ارض بلادنا الطاهرة
540,اهدري قد قد احشمي اهدري بكلمة طيبة كيما متزيدوش تعودوا ولا اي كلمة
3073,ولله كشفتي بروحك انتي مكيش جزايريا حرة عيب عليك
4476,زعما خطك بنت فاميليا ياك روح عس خطك ولا مرتك وبعدها ايا عس فيا
752,متبرجة او متحجبة مايسلكوش من التحرش
5991,احنا ناقصبن
5650,لوكان جيبوهم البلد نحرقو ربه ملخر حابين جهالونا
5850,انا من هذاك العام ماتفرجتش ولا فيلم مصري الى يومنا هذا الماتش انداك عرفني حقيقة الممثليين انهم اتفه وارخس ناس منافقين احنا الي مانتشرفش بيكم انا اتشرف بالعلماء والمثقفين انا استغرب من ممثل يقولك انا فنان فن ايه الي تتشرف بيه حاشة البعض هذا محمد رمضان يقول مين هي الجزاير انا اقولك الجزاير هي قارة افريقيا هي بوابة افريقيا كل العالم عينه عليها الجزاير العظمى اغنى دولة في افريقيا شيت ام ابيت يا محمد يا رمضان احنى الجزاةريين اصلا مانتفرج كثير على الافلام العربية ولا نسمع الاغاني العربية الى فية قليلة جدا احنا نعشق اغاني الجزايرية مطربين تاعنا مكفيينا
4568,هذي حقيقة تاحة اما باقي كله تمتيل هي سبت اماتن خيتنا هم اشرف منك حرتي تابعي لحرام خليتي لحلال تفو عليكم
5828,لاتندمو على خسرت بليقة توالت في لغرقا
4329,هاو شفت وين وصلتي روحك جيتي تكحلي فيها اعميتيها هاسلكها مع الجزايرين
1346,عيشة راجل اصلا انت ماكيش متربية بوسي عينك الشعب الجزايري يقبل الاعتذار نتاعك طحتي من قلبو قذرة انت
5693,فهمتك
3668,اسمعي يالمتاصلة نتي مقلتيش الصح ومتديهاش في روحك لوكان جيتي متادبة معندك واش داك للباجة تع المثليين يخي نتي راكي كثر منها تباني لخاطر راكي هدرتي بالجمع اكي فاهمة
1710,طنجر راه تهين في شباب جزاير وفو فمه تڨول حوتا عينيه تڨول قريسة نيف تڨول تيوات تع غاز فريسة دودنات
3165,حشارا وخصار فيك
2765,انا نحبها تعجبني قالت غي الصح الله غالب هادي هي عقلانيتنا ربي يهديكم
5809,مليح تحيا الجزاير وشعبها
1240,انا نصيحي للقنوات الوطنية ماتزيدوش تحبوها راهي مكروهة من كل الشعب الجزايري مهما قالت ومهما عملت ماراحش يصدقها حتى واحد هي اصلا ماصطة لاصطة من قبل الفضيحة لعملتها
779,تاهدري على الشباب الجزايري احكمينا ملي خلاه حيبورة يا جبهة السطل زوج كيلو ورطل
5329,لسنا بحاجة لهم ولا نريدهم ان يدوس على ارض الشهداء نحن لا ننسى ما قالوا علينا واليوم يردون اموالنا وليس حبا فينا لكن العيب ليس فيهم
5380,الخطا من المسوولة عن التنظيم بيس الترويج وين مشى مصطفى وحرودي وين مشى كبيرنا عثمان عريوات وين عبدو درياسة مين غريس وين شبابنا كلهم ابداعات عطوهم الفرصة وزيدو صويلح جايبين الارهاسات للبلاد الناس تفتش القوت في القمامة والملايير ترمي للشياطين مثل لهايفه
5390,هادوما بعتوهم ليهود وليهود لكبار لي قالولهم ارواحو نحنو الجزايريون نتمتع بقرار تتعدى حدودك ينتهي وجودك
2853,الفتنه اشاد من القتل
4956,مفهمتش وانهم مبانوش
634,راكم ظلمتوها
2542,هي صح عندك الحق في شي كلام ومعندكش حق من جهة اخرى احكيلنا على صحاب لواطا لي طلعوا العاهرات واحكيلنا على العاهرات لي يديروها فالخفاء وقال الله عز وجل وبشر الزاني بخراب بيته وصلاة على النبي محمد صلى الله عليه وسلم
5346,الشعب يموت بالشر وهوما يزودو عليه حسبنا الله ونعم الوكيل الجزاىر ما تحتاج حتي واحد يعرف ويروج للثقافة انتعها
1282,تعيي
4028,شكرا على التفهم
707,عندها الله ولكن تقدر تهدر بطريق الخطا
5938,يعني الفرنسي يخش عادي
256,زعمى راكي حاسبة روحك مانعرفش وشنوا انتي والوا بالنسبة للجزايريات كاين الدنيا شابين اعليك انني شوية شابة بالماكياج ميبصح تنحي الماكياج تولي ابشع من ملك الموت ياودي الله يهديك
5269,العجب اولاد الجزاير الي في الغربة يعانوا ومحروقين ما عندهم الحق يدخلوا للبلاد بلعوا عليهم اما الفساق والفاسدين يدخلوهم لبلادنا واش هاذ المنكر هاذ الشعب راه ميت لهاذ الدرجة ما كانش انتفاضة يحلوا علينا ندخلو لبلادنا الله ينتقم منكم شر انتقام
3872,انت لي غالط اطفال وماطلقوهمش
2438,ازي انتاعك حتى البول منبولش عليه
3134,حسبنا الله ونعم الوكيل فيك وفقط
470,الحاجة الاولى راكي دايرة مفتاح في رقبتك فيه الصليب ونتي مشكوك فيك انك مسلمة الحاجة الثانية كي هدرتي كما قالت ريبيكا هنا نعرفو بلي نتي بنت خامجة
1632,وسيناء ربي يرحمها وراها في دار الحق ماتخافيش الاهلي في روحاك
1785,وكيما قالو ما تخافش من الموج كي يتقلب خاف من الجبري كي يتحلب
3684,انا نقولك سبيتي باباك معاهم نحي علامة الصليب لي راكي ديرتها تفو عليك
3613,خصها واحد عريض
440,عندك راس تاع دواب
2398,الي يقول الحق يخرج من البلاد علاش كدبت انا والله مانعرفها مي قالت الحقيقة والحقيقة دايمن تكون مرة والله والطفلة وتلبس ستار ما يطلقوها وماتحرواوش مزوجة مطلقة ارملة طفلة صغيرة خلاص حسبنا الله ونعم الوكيل
4400,انا مدام راهم يحوسو يطيحوها ويفضحوها نتوقع منهم اي حاجة يديروها باش يخلو الشعب يصدق من عندي مانيش مصدقة حتا حاجة عليها كونطرا في اللي باغيلها الشر مش معناها هي ملاك وواحد فينا ماهو ملاك
445,ان شاء الله انا ايضا لدي قناة وهي انظري لها ان احببت
3839,اعلمه الرماية كل يوم فلما اشتد ساعده رماني وكم علمته نظم القوافي فلما قال قافيه هجاني
4660,طز فيك طز احي احي
1740,احنا جزايرين امرا ورجالنا عندهم كرامة ولا راكي تهدري على الحيوانات روحي عيشي معاهم
675,خرية اتت
5528,لا نريد الفسق والفجور على ارض الشهداء الشعب اولى بهذه الاموال لمساعدة الاسر التي تعيش ازمة مالية ظءقة
3692,بصح انا مفهمتش واش هو البروبلام تاعكم هي هدرت على فية فعلا موجودة في مجتمعنا لم تعمم لم تقل كل الجزايريين بصح نتوما تحبو تغطو الشمس بالغربال باش تتسترو على الفساد تع قلبكم مخكم المكبوت باش تقعدو تتحرشو تغتاصبو فالبنات متتعاقبوش علابيها نضريتو نستعرف بيها مونية الوحيدة اللي خرجت فيكم
384,اوك اختي
694,والله عندها الحق للاسف العرب بصفة عامة مايحبوش الحقيقة هيا حكات على فية معينة ماقالتش كامل ناس الله يعينك بنت بلادي وقعتي في ناس ياهوما قراو ياهوما جاهلين ربي يعينك
1993,تفو خماج وشكرا
5090,تهلو غير في فنانيينا خاصنا غير الرقصات حسبنا الله ونعم الوكيل
709,كل ما قالتو حقيقة مرة ميتقبلها حتى واحد في عوض يحاربوا تحرش يحاربوا مونيا الله يهدينا
5699,المشكلة انو الناس في المواقع ميحبوش وفي ارض الواقع رايحيين بالالوف
807,جرانا زرزومية
4794,نعمة التربية منافقة علابيها ربي فضحك
6051,على خاطرس نتا وحد منهم
4968,وقيل صفا ياسر
4654,احسنت القول
918,مزال عندها وجه تهدر صناع تفاهة الرذيلة تفوو بلاد خماجت بيكم يعبدو دورو وجهم صحيح ميهمش مهم يبقاو في التلفاز قنوات العار دعمهم
1998,علاه نني بنادم يا نعنوعة باش تقولينا بلي حنا حيونات
4781,كانت سكرانة
2552,الشي لي هدرتو بكل عندها الحق فيه اغلبية الشباب الجزايري لا تربية لا اخلاق وزيد يجيو في مواقع التواصل ويطيحو شعب الله المختار ويهدرو باسم الدين وهوما بعيدين كل البعد عن الدين منطق مجنون ومختل اللي يجرم الفيزو ويبرر الاغتصاب والحرق
1102,عجبتني غطات جبهتها اودي مسكينة صح
607,فاسقة
4165,يخرج واحد فيها برا بولو عليها تفو خنز
862,لازمها طروح تقيس السكر ولاطنسيو
714,استغليتي قضية شيماء باه تسبي شباب الجزاير نتي لي عندك مكبوتات
